outlet_osm_id,outlet_name,outlet_type,suburb,outlet_lat,outlet_lon,weeks_active,total_revenue,skus_purchased,visit_frequency,service_level
3291255926,Kiosk,convenience,Nyalenda B,-0.1253104,34.7535577,21,502927.18,24,0.808,Well served
3291258371,Kiosk,convenience,Wadhare,-0.125057,34.7536201,23,471078.50999999995,24,0.885,Well served
3291258372,Kiosk,convenience,Wadhare,-0.1239009,34.7533096,22,500172.7199999998,24,0.846,Well served
3291258373,Kiosk,convenience,Wadhare,-0.1227416,34.7529361,23,496340.3000000001,24,0.885,Well served
3292350021,Unknown,butcher,Southern sublocation,-0.1033614,34.7557818,23,230886.05,24,0.885,Well served
3834757804,Shivling,supermarket,Southern sublocation,-0.1048388,34.7529084,21,1318654.6299999992,24,0.808,Well served
4620811493,street shop,convenience,Milimani,-0.1183397,34.7464164,23,313060.14999999997,24,0.885,Well served
6851440464,QuickMart,supermarket,Southern sublocation,-0.1024953,34.7523456,20,1718982.4200000002,24,0.769,Well served
6966453737,Obunga Market,unclassified,Industrial Area,-0.0816245,34.76504,21,233641.19,24,0.808,Well served
6969176795,Nyamasaria,unclassified,Kasule sublocation,-0.1167143,34.7871522,23,144476.3200000001,24,0.885,Well served
7181814601,Naivas Food Market,supermarket,Northern sublocation,-0.1067626,34.7704819,22,1008445.4599999995,24,0.846,Well served
7227559253,QuickMart,supermarket,Southern sublocation,-0.1172055,34.7591898,23,1264124.7399999995,24,0.885,Well served
7229869113,Choppies,supermarket,Kasule sublocation,-0.116943,34.7875621,20,933828.5299999998,24,0.769,Well served
7229869128,Quickmart- Kondele,supermarket,Manyatta A,-0.0835541,34.7754727,21,2431222.1600000006,24,0.808,Well served
7229869129,Shivling,supermarket,Migosi,-0.0819533,34.7751694,23,2496690.2,24,0.885,Well served
7230512297,Gambogi,unclassified,,-0.0016911,34.7397444,22,126133.24999999993,24,0.846,Well served
8814265702,Mama Papa's Shop,general,Nyalenda A,-0.1191967,34.76467,22,419010.2699999999,24,0.846,Well served
8814390051,Honda Nafuu General Store,general,Manyatta A,-0.0975267,34.7786233,20,411255.38000000006,24,0.769,Well served
8814394881,Mama Sally Shop,kiosk,Manyatta A,-0.0977217,34.7781317,21,166858.54999999993,24,0.808,Well served
8816862517,Dunga Market,unclassified,,-0.1442633,34.73629,22,114711.60999999999,24,0.846,Well served
8816875717,Kilo,unclassified,Wadhare,-0.120895,34.7550017,21,232660.7700000001,24,0.808,Well served
8816877717,Simba Market,unclassified,Milimani,-0.1191189,34.7528467,20,168490.41999999998,24,0.769,Well served
8816877719,Kasawino,convenience,Manyatta B,-0.108175,34.7837583,23,337270.4999999999,24,0.885,Well served
8816890718,Corona market - kowino,unclassified,Nyalenda A,-0.114675,34.76901,22,160165.78999999998,24,0.846,Well served
8816908517,Kasawino Market,unclassified,Manyatta B,-0.1084567,34.7830067,23,135136.07999999993,24,0.885,Well served
8816914817,Gesoko,unclassified,Manyatta B,-0.1028217,34.7770083,23,135530.78,24,0.885,Well served
8816921346,Usodho J.G Shop,kiosk,Manyatta A,-0.08866,34.7770067,20,187999.48999999987,24,0.769,Well served
8816941117,Corona Market 2,unclassified,Manyatta A,-0.09202,34.77597,23,161441.66999999995,24,0.885,Well served
8816945517,Corona Market,unclassified,Manyatta A,-0.0881583,34.777845,21,248002.52999999997,24,0.808,Well served
8816948717,Kona Mbuta Market,unclassified,Manyatta A,-0.0881117,34.7806583,23,163837.51999999993,24,0.885,Well served
8816952917,Kaego,unclassified,Manyatta A,-0.0875748,34.7829903,22,155579.4499999999,24,0.846,Well served
