id,osm_id,name,shop_type,latitude,longitude,road,suburb,display_name
1,3291255926,Kiosk,convenience,-0.1253104,34.7535577,,Nyalenda B,"Wadhare, Nyalenda B, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40141, Keny"
2,3291258371,Kiosk,convenience,-0.125057,34.7536201,,Wadhare,"Wadhare, Kilo, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
3,3291258372,Kiosk,convenience,-0.1239009,34.7533096,,Wadhare,"Wadhare, Kilo, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
4,3291258373,Kiosk,convenience,-0.1227416,34.7529361,,Wadhare,"Wadhare, Kilo, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
6,3292350021,Unknown,butcher,-0.1033614,34.7557818,Achieng' Oneko Road,Southern sublocation,"Achieng' Oneko Road, Lower Railways, k.b.c., Southern sublocation, Kisumu Centra"
8,3834757804,Shivling,supermarket,-0.1048388,34.7529084,Oginga Odinga Street,Southern sublocation,"Oginga Odinga Street, Lower Railways, Southern sublocation, Kisumu Central, Kisu"
10,4620811493,street shop,convenience,-0.1183397,34.7464164,Harambee Road,Milimani,"Harambee Road, Milimani, Southern sublocation, Kisumu Central, Kisumu, City of K"
17,6851440464,QuickMart,supermarket,-0.1024953,34.7523456,Oginga Odinga Street,Southern sublocation,"Oginga Odinga Street, Lower Railways, Southern sublocation, Kisumu Central, Kisu"
18,6966453737,Obunga Market,unclassified,-0.0816245,34.76504,,Industrial Area,"Salem, Industrial Area, Nyawita sublocation, Kisumu Central, Kisumu, City of Kis"
19,6969176795,Nyamasaria,unclassified,-0.1167143,34.7871522,Nairobi Road,Kasule sublocation,"Nairobi Road, Nyamasaria shoping center, Kasule sublocation, Kolwa Central ward,"
20,7181814601,Naivas Food Market,supermarket,-0.1067626,34.7704819,Ondiek Highway,Northern sublocation,"Ondiek Highway, Ten Houses, Northern sublocation, Market Milimani ward, Kisumu, "
22,7227559253,QuickMart,supermarket,-0.1172055,34.7591898,Ring Road,Southern sublocation,"Ring Road, Kachok, Southern sublocation, Nyalenda B ward, Kisumu, City of Kisumu"
23,7229869113,Choppies,supermarket,-0.116943,34.7875621,Nairobi Road,Kasule sublocation,"Nairobi Road, Nyamasaria shoping center, Kasule sublocation, Kolwa Central ward,"
24,7229869128,Quickmart- Kondele,supermarket,-0.0835541,34.7754727,Kibos Road,Manyatta A,"Kibos Road, Corner Legio, Manyatta A, Migosi ward, Kisumu, City of Kisumu, Kisum"
25,7229869129,Shivling,supermarket,-0.0819533,34.7751694,,Migosi,"Fourems, Migosi, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
26,7230512297,Gambogi,unclassified,-0.0016911,34.7397444,Kisumu-Vihiga Road,,"Kisumu-Vihiga Road, Jepkoyai ward, Hamisi, Vihiga, Kenya"
28,8814265702,Mama Papa's Shop,general,-0.1191967,34.76467,,Nyalenda A,"Nyalenda A, Kisumu East, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
30,8814390051,Honda Nafuu General Store,general,-0.0975267,34.7786233,,Manyatta A,"Sije, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
31,8814394881,Mama Sally Shop,kiosk,-0.0977217,34.7781317,,Manyatta A,"Baraka, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
34,8816862517,Dunga Market,unclassified,-0.1442633,34.73629,,,"Kisumu Central, Kisumu, City of Kisumu, Kisumu, Kenya"
35,8816875717,Kilo,unclassified,-0.120895,34.7550017,,Wadhare,"Wadhare, Kilo, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
36,8816877717,Simba Market,unclassified,-0.1191189,34.7528467,Tom Mboya Road,Milimani,"Tom Mboya Road, Milimani, Southern sublocation, Kisumu Central, Kisumu, City of "
37,8816877719,Kasawino,convenience,-0.108175,34.7837583,,Manyatta B,"Siany', Manyatta B, Kisumu East, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
38,8816890718,Corona market - kowino,unclassified,-0.114675,34.76901,,Nyalenda A,"Kasagam, Nyalenda A, Kisumu East, Kisumu, City of Kisumu, Kisumu, 40141, Kenya"
39,8816908517,Kasawino Market,unclassified,-0.1084567,34.7830067,,Manyatta B,"Siany', Manyatta B, Kisumu East, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
40,8816914817,Gesoko,unclassified,-0.1028217,34.7770083,,Manyatta B,"Gesoko, Manyatta B, Kisumu East, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
41,8816921346,Usodho J.G Shop,kiosk,-0.08866,34.7770067,Mosque-Kona Mbuta Road,Manyatta A,"Mosque-Kona Mbuta Road, Kona Mbuta, Manyatta A, Kisumu Central, Kisumu, City of "
42,8816941117,Corona Market 2,unclassified,-0.09202,34.77597,,Manyatta A,"Kona Mbaya, Baraka, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Kisumu, "
43,8816945517,Corona Market,unclassified,-0.0881583,34.777845,Mosque-Kona Mbuta Road,Manyatta A,"Mosque-Kona Mbuta Road, Kona Mbuta, Manyatta A, Kisumu Central, Kisumu, City of "
44,8816948717,Kona Mbuta Market,unclassified,-0.0881117,34.7806583,,Manyatta A,"Kosawo, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103, Kenya"
45,8816952917,Kaego,unclassified,-0.0875748,34.7829903,,Manyatta A,"Kona Maji, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103, Ke"
46,8816962317,Kondele Market,unclassified,-0.084175,34.7745917,Kibos Road,Manyatta A,"Kibos Road, Corner Legio, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Ki"
47,8816972117,Kaego Market,unclassified,-0.0816297,34.7845018,P241,Manyatta A,"P241, Sije, Manyatta A, Kisumu East, Kisumu, City of Kisumu, Kisumu, 40103, Keny"
48,8816972118,Lolwe Junction Market,unclassified,-0.0743766,34.781689,,Lolwe,"Lolwe shopping center, Lolwe, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40"
49,8816975418,Nyawita market,unclassified,-0.0805903,34.7716722,,Nyawita sublocation,"Quarry, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Ki"
50,8816984317,Ayanga Market Nyawita,unclassified,-0.0815979,34.7714588,,Nyawita sublocation,"Quarry, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Ki"
51,8816988617,Obunga Fish Market,unclassified,-0.0810567,34.7604283,Bypass Highway,Industrial Area,"Bypass Highway, Salem, Industrial Area, Bandari sublocation, Kisumu Central, Kis"
52,8816995517,Kombedu Market,unclassified,-0.0803143,34.7465815,,Bandari,"Bandari, Kogony sublocation, Central Kisumu ward, Kisumu, City of Kisumu, Kisumu"
53,8816996417,Kombedu,unclassified,-0.0797453,34.7464408,,Bandari,"Bandari, Kogony sublocation, Central Kisumu ward, Kisumu, City of Kisumu, Kisumu"
54,8817013517,Bandani Market,unclassified,-0.0793272,34.7413743,Kisumu-Busia Road,Bandari sublocation,"Kisumu-Busia Road, Airport, Bandari sublocation, Kisumu Central, Kisumu, City of"
56,8817126017,Riat Market,unclassified,-0.0762867,34.7298283,,Kogony',"Kogony', Kogony sublocation, Central Kisumu ward, Kisumu, City of Kisumu, Kisumu"
57,8817126018,Riat road side market,farm,-0.0765933,34.728975,D1893,Kogony sublocation,"D1893, Kogony sublocation, Central Kisumu ward, Kisumu, City of Kisumu, Kisumu W"
58,8817177117,Riat railway market,unclassified,-0.0769175,34.729264,D1893,Bandari sublocation,"D1893, Bandari sublocation, Kisumu Central, Kisumu, City of Kisumu, Kisumu West,"
59,8817263717,Bandani market,unclassified,-0.0755503,34.7089485,D242,Kogony' B,"D242, Kogony' B, Korando A sublocation, Central Kisumu ward, Kisumu, City of Kis"
60,8817300117,Kotetni market,unclassified,-0.08073,34.7078633,D242,Kogony' B,"D242, Kogony' B, Korando A sublocation, Central Kisumu ward, Kisumu, City of Kis"
62,8817517530,Handshake Wines and Spirits,alcohol,-0.0833061,34.7753706,Kibos Road,Manyatta A,"Kibos Road, Corner Legio, Manyatta A, Migosi ward, Kisumu, City of Kisumu, Kisum"
63,8817685608,Unknown,kiosk,-0.0835894,34.7751816,Kibos Road,Manyatta A,"Kibos Road, Corner Legio, Manyatta A, Migosi ward, Kisumu, City of Kisumu, Kisum"
65,8817734979,Aswanson Super Duka,wholesale,-0.0841454,34.7746317,,Manyatta A,"Corner Legio, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103,"
66,8820769660,Josato Butchery,butcher,-0.0850551,34.7748571,,Manyatta A,"Callbox, Manyatta A, Kisumu Central, Kisumu, City of Kisumu, Kisumu, 40103, Keny"
69,8820816082,Nyawita Dairy Shop,dairy,-0.0815694,34.7712899,,Nyawita sublocation,"Quarry, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Ki"
70,8820816309,Denis Shop,kiosk,-0.0814791,34.7712572,,Nyawita sublocation,"Quarry, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Ki"
71,8820820649,Signet Shop,kiosk,-0.0809901,34.7713845,,Nyawita sublocation,"Quarry, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Ki"
73,8820825354,Mama Juliet Shop,kiosk,-0.0811011,34.7714351,,Nyawita sublocation,"Quarry, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Ki"
75,8820855657,Kananga Everfresh Butchery,butcher,-0.0805837,34.7717521,,Nyawita sublocation,"Quarry, Kondele, Nyawita sublocation, Kisumu Central, Kisumu, City of Kisumu, Ki"
81,8820886815,NEEMA Dairy Shop,dairy,-0.0800864,34.7667771,,Nyawita sublocation,"Kamakowa, Tom Mboya Estate, Nyawita sublocation, Kisumu Central, Kisumu, City of"
82,8820899854,Butchery,butcher,-0.0799517,34.7670517,P208,Nyawita sublocation,"P208, Obunga-sega Sega, Tom Mboya Estate, Nyawita sublocation, Kisumu Central, K"
84,8820906538,Imani Meat Butchery,butcher,-0.0803643,34.76621,P208,Kanyakwar sublocation,"P208, Obunga-sega Sega, Tom Mboya Estate, Kanyakwar sublocation, Kisumu Central,"
85,8823995282,Juba General shop,kiosk,-0.0808214,34.7664914,,Nyawita sublocation,"Kamakowa, Tom Mboya Estate, Nyawita sublocation, Kisumu Central, Kisumu, City of"
86,8824025979,Three Star Butchery,butcher,-0.0815633,34.7652117,P208,Nyawita sublocation,"P208, Obunga-sega Sega, Tom Mboya Estate, Nyawita sublocation, Kisumu Central, K"
87,8824028730,Edu Shop,kiosk,-0.0812517,34.7654833,P208,Nyawita sublocation,"P208, Obunga-sega Sega, Tom Mboya Estate, Nyawita sublocation, Kisumu Central, K"
88,8824029560,Holos Wines and Spitits,alcohol,-0.0809141,34.7663913,,Nyawita sublocation,"Kamakowa, Tom Mboya Estate, Nyawita sublocation, Kisumu Central, Kisumu, City of"
90,8824050876,Riverside Shop,kiosk,-0.081095,34.7645133,,Industrial Area,"Salem, Industrial Area, Nyawita sublocation, Kisumu Central, Kisumu, City of Kis"
91,8824052507,Baba Nelfa Shop,kiosk,-0.0812533,34.7648867,,Industrial Area,"Salem, Industrial Area, Nyawita sublocation, Kisumu Central, Kisumu, City of Kis"
92,8824052508,Mama Manu Shop,kiosk,-0.0809,34.7643833,,Industrial Area,"Salem, Industrial Area, Bandari sublocation, Kisumu Central, Kisumu, City of Kis"
93,8824061915,Joy Butchery,butcher,-0.0815383,34.7650583,,Industrial Area,"Salem, Industrial Area, Bandari sublocation, Kisumu Central, Kisumu, City of Kis"
95,8824066818,Kuku Shop,butcher,-0.0812117,34.7648917,,Industrial Area,"Salem, Industrial Area, Nyawita sublocation, Kisumu Central, Kisumu, City of Kis"
