osm_id,outlet_name,shop_type,size_tier,sku,category,weekly_units,density_score
3291255926,Kiosk,convenience,medium,OIL001,cooking_oil,7,0.739
3291255926,Kiosk,convenience,medium,OIL002,cooking_oil,7,0.739
3291255926,Kiosk,convenience,medium,OIL003,cooking_oil,7,0.739
3291255926,Kiosk,convenience,medium,OIL004,cooking_oil,7,0.739
3291255926,Kiosk,convenience,medium,FLR001,flour,8,0.739
3291255926,Kiosk,convenience,medium,FLR002,flour,7,0.739
3291255926,Kiosk,convenience,medium,FLR003,flour,8,0.739
3291255926,Kiosk,convenience,medium,FLR004,flour,7,0.739
3291255926,Kiosk,convenience,medium,SUG001,sugar,5,0.739
3291255926,Kiosk,convenience,medium,SUG002,sugar,5,0.739
3291255926,Kiosk,convenience,medium,SUG003,sugar,6,0.739
3291255926,Kiosk,convenience,medium,SOP001,soap,5,0.739
3291255926,Kiosk,convenience,medium,SOP002,soap,4,0.739
3291255926,Kiosk,convenience,medium,SOP003,soap,4,0.739
3291255926,Kiosk,convenience,medium,SOP004,soap,3,0.739
3291255926,Kiosk,convenience,medium,BEV001,beverages,5,0.739
3291255926,Kiosk,convenience,medium,BEV002,beverages,5,0.739
3291255926,Kiosk,convenience,medium,BEV003,beverages,5,0.739
3291255926,Kiosk,convenience,medium,BEV004,beverages,4,0.739
3291255926,Kiosk,convenience,medium,PC001,personal_care,4,0.739
3291255926,Kiosk,convenience,medium,PC002,personal_care,4,0.739
3291255926,Kiosk,convenience,medium,PC003,personal_care,3,0.739
3291255926,Kiosk,convenience,medium,SAN001,sanitary,3,0.739
3291255926,Kiosk,convenience,medium,SAN002,sanitary,3,0.739
3291258371,Kiosk,convenience,medium,OIL001,cooking_oil,6,0.739
3291258371,Kiosk,convenience,medium,OIL002,cooking_oil,6,0.739
3291258371,Kiosk,convenience,medium,OIL003,cooking_oil,6,0.739
3291258371,Kiosk,convenience,medium,OIL004,cooking_oil,6,0.739
3291258371,Kiosk,convenience,medium,FLR001,flour,7,0.739
3291258371,Kiosk,convenience,medium,FLR002,flour,6,0.739
3291258371,Kiosk,convenience,medium,FLR003,flour,7,0.739
3291258371,Kiosk,convenience,medium,FLR004,flour,8,0.739
3291258371,Kiosk,convenience,medium,SUG001,sugar,6,0.739
3291258371,Kiosk,convenience,medium,SUG002,sugar,5,0.739
3291258371,Kiosk,convenience,medium,SUG003,sugar,5,0.739
3291258371,Kiosk,convenience,medium,SOP001,soap,4,0.739
3291258371,Kiosk,convenience,medium,SOP002,soap,3,0.739
3291258371,Kiosk,convenience,medium,SOP003,soap,4,0.739
3291258371,Kiosk,convenience,medium,SOP004,soap,5,0.739
3291258371,Kiosk,convenience,medium,BEV001,beverages,5,0.739
3291258371,Kiosk,convenience,medium,BEV002,beverages,4,0.739
3291258371,Kiosk,convenience,medium,BEV003,beverages,5,0.739
3291258371,Kiosk,convenience,medium,BEV004,beverages,4,0.739
3291258371,Kiosk,convenience,medium,PC001,personal_care,3,0.739
3291258371,Kiosk,convenience,medium,PC002,personal_care,3,0.739
3291258371,Kiosk,convenience,medium,PC003,personal_care,3,0.739
3291258371,Kiosk,convenience,medium,SAN001,sanitary,2,0.739
3291258371,Kiosk,convenience,medium,SAN002,sanitary,3,0.739
3291258372,Kiosk,convenience,medium,OIL001,cooking_oil,5,0.761
3291258372,Kiosk,convenience,medium,OIL002,cooking_oil,6,0.761
3291258372,Kiosk,convenience,medium,OIL003,cooking_oil,5,0.761
3291258372,Kiosk,convenience,medium,OIL004,cooking_oil,7,0.761
3291258372,Kiosk,convenience,medium,FLR001,flour,6,0.761
3291258372,Kiosk,convenience,medium,FLR002,flour,9,0.761
3291258372,Kiosk,convenience,medium,FLR003,flour,8,0.761
3291258372,Kiosk,convenience,medium,FLR004,flour,7,0.761
3291258372,Kiosk,convenience,medium,SUG001,sugar,5,0.761
3291258372,Kiosk,convenience,medium,SUG002,sugar,6,0.761
3291258372,Kiosk,convenience,medium,SUG003,sugar,5,0.761
3291258372,Kiosk,convenience,medium,SOP001,soap,3,0.761
3291258372,Kiosk,convenience,medium,SOP002,soap,5,0.761
3291258372,Kiosk,convenience,medium,SOP003,soap,5,0.761
3291258372,Kiosk,convenience,medium,SOP004,soap,4,0.761
3291258372,Kiosk,convenience,medium,BEV001,beverages,5,0.761
3291258372,Kiosk,convenience,medium,BEV002,beverages,5,0.761
3291258372,Kiosk,convenience,medium,BEV003,beverages,5,0.761
3291258372,Kiosk,convenience,medium,BEV004,beverages,5,0.761
3291258372,Kiosk,convenience,medium,PC001,personal_care,3,0.761
3291258372,Kiosk,convenience,medium,PC002,personal_care,3,0.761
3291258372,Kiosk,convenience,medium,PC003,personal_care,3,0.761
3291258372,Kiosk,convenience,medium,SAN001,sanitary,3,0.761
3291258372,Kiosk,convenience,medium,SAN002,sanitary,2,0.761
3291258373,Kiosk,convenience,medium,OIL001,cooking_oil,5,0.761
3291258373,Kiosk,convenience,medium,OIL002,cooking_oil,5,0.761
3291258373,Kiosk,convenience,medium,OIL003,cooking_oil,7,0.761
3291258373,Kiosk,convenience,medium,OIL004,cooking_oil,6,0.761
3291258373,Kiosk,convenience,medium,FLR001,flour,8,0.761
3291258373,Kiosk,convenience,medium,FLR002,flour,7,0.761
3291258373,Kiosk,convenience,medium,FLR003,flour,9,0.761
3291258373,Kiosk,convenience,medium,FLR004,flour,7,0.761
3291258373,Kiosk,convenience,medium,SUG001,sugar,6,0.761
3291258373,Kiosk,convenience,medium,SUG002,sugar,5,0.761
3291258373,Kiosk,convenience,medium,SUG003,sugar,6,0.761
3291258373,Kiosk,convenience,medium,SOP001,soap,4,0.761
3291258373,Kiosk,convenience,medium,SOP002,soap,5,0.761
3291258373,Kiosk,convenience,medium,SOP003,soap,5,0.761
3291258373,Kiosk,convenience,medium,SOP004,soap,5,0.761
3291258373,Kiosk,convenience,medium,BEV001,beverages,6,0.761
3291258373,Kiosk,convenience,medium,BEV002,beverages,4,0.761
3291258373,Kiosk,convenience,medium,BEV003,beverages,5,0.761
3291258373,Kiosk,convenience,medium,BEV004,beverages,6,0.761
3291258373,Kiosk,convenience,medium,PC001,personal_care,3,0.761
3291258373,Kiosk,convenience,medium,PC002,personal_care,4,0.761
3291258373,Kiosk,convenience,medium,PC003,personal_care,3,0.761
3291258373,Kiosk,convenience,medium,SAN001,sanitary,3,0.761
3291258373,Kiosk,convenience,medium,SAN002,sanitary,3,0.761
3292350021,Unknown,butcher,small,OIL001,cooking_oil,3,0.826
3292350021,Unknown,butcher,small,OIL002,cooking_oil,2,0.826
3292350021,Unknown,butcher,small,OIL003,cooking_oil,3,0.826
3292350021,Unknown,butcher,small,OIL004,cooking_oil,3,0.826
3292350021,Unknown,butcher,small,FLR001,flour,4,0.826
3292350021,Unknown,butcher,small,FLR002,flour,3,0.826
3292350021,Unknown,butcher,small,FLR003,flour,4,0.826
3292350021,Unknown,butcher,small,FLR004,flour,4,0.826
3292350021,Unknown,butcher,small,SUG001,sugar,2,0.826
3292350021,Unknown,butcher,small,SUG002,sugar,2,0.826
3292350021,Unknown,butcher,small,SUG003,sugar,3,0.826
3292350021,Unknown,butcher,small,SOP001,soap,2,0.826
3292350021,Unknown,butcher,small,SOP002,soap,2,0.826
3292350021,Unknown,butcher,small,SOP003,soap,2,0.826
3292350021,Unknown,butcher,small,SOP004,soap,2,0.826
3292350021,Unknown,butcher,small,BEV001,beverages,2,0.826
3292350021,Unknown,butcher,small,BEV002,beverages,2,0.826
3292350021,Unknown,butcher,small,BEV003,beverages,2,0.826
3292350021,Unknown,butcher,small,BEV004,beverages,2,0.826
3292350021,Unknown,butcher,small,PC001,personal_care,2,0.826
3292350021,Unknown,butcher,small,PC002,personal_care,1,0.826
3292350021,Unknown,butcher,small,PC003,personal_care,2,0.826
3292350021,Unknown,butcher,small,SAN001,sanitary,1,0.826
3292350021,Unknown,butcher,small,SAN002,sanitary,1,0.826
3834757804,Shivling,supermarket,large,OIL001,cooking_oil,14,0.783
3834757804,Shivling,supermarket,large,OIL002,cooking_oil,18,0.783
3834757804,Shivling,supermarket,large,OIL003,cooking_oil,15,0.783
3834757804,Shivling,supermarket,large,OIL004,cooking_oil,16,0.783
3834757804,Shivling,supermarket,large,FLR001,flour,19,0.783
3834757804,Shivling,supermarket,large,FLR002,flour,19,0.783
3834757804,Shivling,supermarket,large,FLR003,flour,17,0.783
3834757804,Shivling,supermarket,large,FLR004,flour,22,0.783
3834757804,Shivling,supermarket,large,SUG001,sugar,15,0.783
3834757804,Shivling,supermarket,large,SUG002,sugar,12,0.783
3834757804,Shivling,supermarket,large,SUG003,sugar,17,0.783
3834757804,Shivling,supermarket,large,SOP001,soap,10,0.783
3834757804,Shivling,supermarket,large,SOP002,soap,13,0.783
3834757804,Shivling,supermarket,large,SOP003,soap,11,0.783
3834757804,Shivling,supermarket,large,SOP004,soap,10,0.783
3834757804,Shivling,supermarket,large,BEV001,beverages,12,0.783
3834757804,Shivling,supermarket,large,BEV002,beverages,14,0.783
3834757804,Shivling,supermarket,large,BEV003,beverages,15,0.783
3834757804,Shivling,supermarket,large,BEV004,beverages,12,0.783
3834757804,Shivling,supermarket,large,PC001,personal_care,9,0.783
3834757804,Shivling,supermarket,large,PC002,personal_care,10,0.783
3834757804,Shivling,supermarket,large,PC003,personal_care,10,0.783
3834757804,Shivling,supermarket,large,SAN001,sanitary,7,0.783
3834757804,Shivling,supermarket,large,SAN002,sanitary,9,0.783
4620811493,street shop,convenience,medium,OIL001,cooking_oil,4,0.5
4620811493,street shop,convenience,medium,OIL002,cooking_oil,4,0.5
4620811493,street shop,convenience,medium,OIL003,cooking_oil,5,0.5
4620811493,street shop,convenience,medium,OIL004,cooking_oil,4,0.5
4620811493,street shop,convenience,medium,FLR001,flour,5,0.5
4620811493,street shop,convenience,medium,FLR002,flour,4,0.5
4620811493,street shop,convenience,medium,FLR003,flour,5,0.5
4620811493,street shop,convenience,medium,FLR004,flour,4,0.5
4620811493,street shop,convenience,medium,SUG001,sugar,3,0.5
4620811493,street shop,convenience,medium,SUG002,sugar,3,0.5
4620811493,street shop,convenience,medium,SUG003,sugar,3,0.5
4620811493,street shop,convenience,medium,SOP001,soap,2,0.5
4620811493,street shop,convenience,medium,SOP002,soap,3,0.5
4620811493,street shop,convenience,medium,SOP003,soap,2,0.5
4620811493,street shop,convenience,medium,SOP004,soap,2,0.5
4620811493,street shop,convenience,medium,BEV001,beverages,3,0.5
4620811493,street shop,convenience,medium,BEV002,beverages,3,0.5
4620811493,street shop,convenience,medium,BEV003,beverages,3,0.5
4620811493,street shop,convenience,medium,BEV004,beverages,4,0.5
4620811493,street shop,convenience,medium,PC001,personal_care,3,0.5
4620811493,street shop,convenience,medium,PC002,personal_care,3,0.5
4620811493,street shop,convenience,medium,PC003,personal_care,2,0.5
4620811493,street shop,convenience,medium,SAN001,sanitary,2,0.5
4620811493,street shop,convenience,medium,SAN002,sanitary,2,0.5
6851440464,QuickMart,supermarket,large,OIL001,cooking_oil,25,1.022
6851440464,QuickMart,supermarket,large,OIL002,cooking_oil,23,1.022
6851440464,QuickMart,supermarket,large,OIL003,cooking_oil,24,1.022
6851440464,QuickMart,supermarket,large,OIL004,cooking_oil,26,1.022
6851440464,QuickMart,supermarket,large,FLR001,flour,27,1.022
6851440464,QuickMart,supermarket,large,FLR002,flour,22,1.022
6851440464,QuickMart,supermarket,large,FLR003,flour,23,1.022
6851440464,QuickMart,supermarket,large,FLR004,flour,23,1.022
6851440464,QuickMart,supermarket,large,SUG001,sugar,21,1.022
6851440464,QuickMart,supermarket,large,SUG002,sugar,21,1.022
6851440464,QuickMart,supermarket,large,SUG003,sugar,22,1.022
6851440464,QuickMart,supermarket,large,SOP001,soap,17,1.022
6851440464,QuickMart,supermarket,large,SOP002,soap,12,1.022
6851440464,QuickMart,supermarket,large,SOP003,soap,17,1.022
6851440464,QuickMart,supermarket,large,SOP004,soap,14,1.022
6851440464,QuickMart,supermarket,large,BEV001,beverages,20,1.022
6851440464,QuickMart,supermarket,large,BEV002,beverages,19,1.022
6851440464,QuickMart,supermarket,large,BEV003,beverages,19,1.022
6851440464,QuickMart,supermarket,large,BEV004,beverages,18,1.022
6851440464,QuickMart,supermarket,large,PC001,personal_care,12,1.022
6851440464,QuickMart,supermarket,large,PC002,personal_care,11,1.022
6851440464,QuickMart,supermarket,large,PC003,personal_care,14,1.022
6851440464,QuickMart,supermarket,large,SAN001,sanitary,9,1.022
6851440464,QuickMart,supermarket,large,SAN002,sanitary,10,1.022
6966453737,Obunga Market,unclassified,small,OIL001,cooking_oil,3,0.913
6966453737,Obunga Market,unclassified,small,OIL002,cooking_oil,2,0.913
6966453737,Obunga Market,unclassified,small,OIL003,cooking_oil,3,0.913
6966453737,Obunga Market,unclassified,small,OIL004,cooking_oil,2,0.913
6966453737,Obunga Market,unclassified,small,FLR001,flour,3,0.913
6966453737,Obunga Market,unclassified,small,FLR002,flour,4,0.913
6966453737,Obunga Market,unclassified,small,FLR003,flour,4,0.913
6966453737,Obunga Market,unclassified,small,FLR004,flour,4,0.913
6966453737,Obunga Market,unclassified,small,SUG001,sugar,2,0.913
6966453737,Obunga Market,unclassified,small,SUG002,sugar,3,0.913
6966453737,Obunga Market,unclassified,small,SUG003,sugar,3,0.913
6966453737,Obunga Market,unclassified,small,SOP001,soap,2,0.913
6966453737,Obunga Market,unclassified,small,SOP002,soap,2,0.913
6966453737,Obunga Market,unclassified,small,SOP003,soap,2,0.913
6966453737,Obunga Market,unclassified,small,SOP004,soap,2,0.913
6966453737,Obunga Market,unclassified,small,BEV001,beverages,2,0.913
6966453737,Obunga Market,unclassified,small,BEV002,beverages,2,0.913
6966453737,Obunga Market,unclassified,small,BEV003,beverages,3,0.913
6966453737,Obunga Market,unclassified,small,BEV004,beverages,2,0.913
6966453737,Obunga Market,unclassified,small,PC001,personal_care,2,0.913
6966453737,Obunga Market,unclassified,small,PC002,personal_care,2,0.913
6966453737,Obunga Market,unclassified,small,PC003,personal_care,2,0.913
6966453737,Obunga Market,unclassified,small,SAN001,sanitary,1,0.913
6966453737,Obunga Market,unclassified,small,SAN002,sanitary,1,0.913
6969176795,Nyamasaria,unclassified,small,OIL001,cooking_oil,2,0.543
6969176795,Nyamasaria,unclassified,small,OIL002,cooking_oil,1,0.543
6969176795,Nyamasaria,unclassified,small,OIL003,cooking_oil,1,0.543
6969176795,Nyamasaria,unclassified,small,OIL004,cooking_oil,2,0.543
6969176795,Nyamasaria,unclassified,small,FLR001,flour,2,0.543
6969176795,Nyamasaria,unclassified,small,FLR002,flour,2,0.543
6969176795,Nyamasaria,unclassified,small,FLR003,flour,2,0.543
6969176795,Nyamasaria,unclassified,small,FLR004,flour,2,0.543
6969176795,Nyamasaria,unclassified,small,SUG001,sugar,2,0.543
6969176795,Nyamasaria,unclassified,small,SUG002,sugar,2,0.543
6969176795,Nyamasaria,unclassified,small,SUG003,sugar,2,0.543
6969176795,Nyamasaria,unclassified,small,SOP001,soap,1,0.543
6969176795,Nyamasaria,unclassified,small,SOP002,soap,1,0.543
6969176795,Nyamasaria,unclassified,small,SOP003,soap,1,0.543
6969176795,Nyamasaria,unclassified,small,SOP004,soap,1,0.543
6969176795,Nyamasaria,unclassified,small,BEV001,beverages,1,0.543
6969176795,Nyamasaria,unclassified,small,BEV002,beverages,2,0.543
6969176795,Nyamasaria,unclassified,small,BEV003,beverages,2,0.543
6969176795,Nyamasaria,unclassified,small,BEV004,beverages,1,0.543
6969176795,Nyamasaria,unclassified,small,PC001,personal_care,1,0.543
6969176795,Nyamasaria,unclassified,small,PC002,personal_care,1,0.543
6969176795,Nyamasaria,unclassified,small,PC003,personal_care,1,0.543
6969176795,Nyamasaria,unclassified,small,SAN001,sanitary,1,0.543
6969176795,Nyamasaria,unclassified,small,SAN002,sanitary,1,0.543
7181814601,Naivas Food Market,supermarket,large,OIL001,cooking_oil,14,0.565
7181814601,Naivas Food Market,supermarket,large,OIL002,cooking_oil,12,0.565
7181814601,Naivas Food Market,supermarket,large,OIL003,cooking_oil,11,0.565
7181814601,Naivas Food Market,supermarket,large,OIL004,cooking_oil,11,0.565
7181814601,Naivas Food Market,supermarket,large,FLR001,flour,17,0.565
7181814601,Naivas Food Market,supermarket,large,FLR002,flour,15,0.565
7181814601,Naivas Food Market,supermarket,large,FLR003,flour,14,0.565
7181814601,Naivas Food Market,supermarket,large,FLR004,flour,16,0.565
7181814601,Naivas Food Market,supermarket,large,SUG001,sugar,9,0.565
7181814601,Naivas Food Market,supermarket,large,SUG002,sugar,12,0.565
7181814601,Naivas Food Market,supermarket,large,SUG003,sugar,12,0.565
7181814601,Naivas Food Market,supermarket,large,SOP001,soap,7,0.565
7181814601,Naivas Food Market,supermarket,large,SOP002,soap,10,0.565
7181814601,Naivas Food Market,supermarket,large,SOP003,soap,10,0.565
7181814601,Naivas Food Market,supermarket,large,SOP004,soap,8,0.565
7181814601,Naivas Food Market,supermarket,large,BEV001,beverages,9,0.565
7181814601,Naivas Food Market,supermarket,large,BEV002,beverages,11,0.565
7181814601,Naivas Food Market,supermarket,large,BEV003,beverages,10,0.565
7181814601,Naivas Food Market,supermarket,large,BEV004,beverages,8,0.565
7181814601,Naivas Food Market,supermarket,large,PC001,personal_care,7,0.565
7181814601,Naivas Food Market,supermarket,large,PC002,personal_care,8,0.565
7181814601,Naivas Food Market,supermarket,large,PC003,personal_care,8,0.565
7181814601,Naivas Food Market,supermarket,large,SAN001,sanitary,5,0.565
7181814601,Naivas Food Market,supermarket,large,SAN002,sanitary,6,0.565
7227559253,QuickMart,supermarket,large,OIL001,cooking_oil,18,0.739
7227559253,QuickMart,supermarket,large,OIL002,cooking_oil,16,0.739
7227559253,QuickMart,supermarket,large,OIL003,cooking_oil,14,0.739
7227559253,QuickMart,supermarket,large,OIL004,cooking_oil,14,0.739
7227559253,QuickMart,supermarket,large,FLR001,flour,17,0.739
7227559253,QuickMart,supermarket,large,FLR002,flour,22,0.739
7227559253,QuickMart,supermarket,large,FLR003,flour,22,0.739
7227559253,QuickMart,supermarket,large,FLR004,flour,19,0.739
7227559253,QuickMart,supermarket,large,SUG001,sugar,13,0.739
7227559253,QuickMart,supermarket,large,SUG002,sugar,14,0.739
7227559253,QuickMart,supermarket,large,SUG003,sugar,14,0.739
7227559253,QuickMart,supermarket,large,SOP001,soap,10,0.739
7227559253,QuickMart,supermarket,large,SOP002,soap,9,0.739
7227559253,QuickMart,supermarket,large,SOP003,soap,10,0.739
7227559253,QuickMart,supermarket,large,SOP004,soap,11,0.739
7227559253,QuickMart,supermarket,large,BEV001,beverages,14,0.739
7227559253,QuickMart,supermarket,large,BEV002,beverages,14,0.739
7227559253,QuickMart,supermarket,large,BEV003,beverages,11,0.739
7227559253,QuickMart,supermarket,large,BEV004,beverages,12,0.739
7227559253,QuickMart,supermarket,large,PC001,personal_care,9,0.739
7227559253,QuickMart,supermarket,large,PC002,personal_care,9,0.739
7227559253,QuickMart,supermarket,large,PC003,personal_care,8,0.739
7227559253,QuickMart,supermarket,large,SAN001,sanitary,6,0.739
7227559253,QuickMart,supermarket,large,SAN002,sanitary,8,0.739
7229869113,Choppies,supermarket,large,OIL001,cooking_oil,10,0.543
7229869113,Choppies,supermarket,large,OIL002,cooking_oil,12,0.543
7229869113,Choppies,supermarket,large,OIL003,cooking_oil,10,0.543
7229869113,Choppies,supermarket,large,OIL004,cooking_oil,13,0.543
7229869113,Choppies,supermarket,large,FLR001,flour,12,0.543
7229869113,Choppies,supermarket,large,FLR002,flour,15,0.543
7229869113,Choppies,supermarket,large,FLR003,flour,16,0.543
7229869113,Choppies,supermarket,large,FLR004,flour,17,0.543
7229869113,Choppies,supermarket,large,SUG001,sugar,9,0.543
7229869113,Choppies,supermarket,large,SUG002,sugar,9,0.543
7229869113,Choppies,supermarket,large,SUG003,sugar,9,0.543
7229869113,Choppies,supermarket,large,SOP001,soap,9,0.543
7229869113,Choppies,supermarket,large,SOP002,soap,8,0.543
7229869113,Choppies,supermarket,large,SOP003,soap,6,0.543
7229869113,Choppies,supermarket,large,SOP004,soap,8,0.543
7229869113,Choppies,supermarket,large,BEV001,beverages,10,0.543
7229869113,Choppies,supermarket,large,BEV002,beverages,8,0.543
7229869113,Choppies,supermarket,large,BEV003,beverages,9,0.543
7229869113,Choppies,supermarket,large,BEV004,beverages,9,0.543
7229869113,Choppies,supermarket,large,PC001,personal_care,7,0.543
7229869113,Choppies,supermarket,large,PC002,personal_care,6,0.543
7229869113,Choppies,supermarket,large,PC003,personal_care,6,0.543
7229869113,Choppies,supermarket,large,SAN001,sanitary,6,0.543
7229869113,Choppies,supermarket,large,SAN002,sanitary,5,0.543
7229869128,Quickmart- Kondele,supermarket,large,OIL001,cooking_oil,30,1.37
7229869128,Quickmart- Kondele,supermarket,large,OIL002,cooking_oil,34,1.37
7229869128,Quickmart- Kondele,supermarket,large,OIL003,cooking_oil,26,1.37
7229869128,Quickmart- Kondele,supermarket,large,OIL004,cooking_oil,33,1.37
7229869128,Quickmart- Kondele,supermarket,large,FLR001,flour,38,1.37
7229869128,Quickmart- Kondele,supermarket,large,FLR002,flour,39,1.37
7229869128,Quickmart- Kondele,supermarket,large,FLR003,flour,31,1.37
7229869128,Quickmart- Kondele,supermarket,large,FLR004,flour,36,1.37
7229869128,Quickmart- Kondele,supermarket,large,SUG001,sugar,25,1.37
7229869128,Quickmart- Kondele,supermarket,large,SUG002,sugar,29,1.37
7229869128,Quickmart- Kondele,supermarket,large,SUG003,sugar,25,1.37
7229869128,Quickmart- Kondele,supermarket,large,SOP001,soap,18,1.37
7229869128,Quickmart- Kondele,supermarket,large,SOP002,soap,18,1.37
7229869128,Quickmart- Kondele,supermarket,large,SOP003,soap,19,1.37
7229869128,Quickmart- Kondele,supermarket,large,SOP004,soap,18,1.37
7229869128,Quickmart- Kondele,supermarket,large,BEV001,beverages,20,1.37
7229869128,Quickmart- Kondele,supermarket,large,BEV002,beverages,22,1.37
7229869128,Quickmart- Kondele,supermarket,large,BEV003,beverages,26,1.37
7229869128,Quickmart- Kondele,supermarket,large,BEV004,beverages,20,1.37
7229869128,Quickmart- Kondele,supermarket,large,PC001,personal_care,19,1.37
7229869128,Quickmart- Kondele,supermarket,large,PC002,personal_care,17,1.37
7229869128,Quickmart- Kondele,supermarket,large,PC003,personal_care,15,1.37
7229869128,Quickmart- Kondele,supermarket,large,SAN001,sanitary,13,1.37
7229869128,Quickmart- Kondele,supermarket,large,SAN002,sanitary,13,1.37
7229869129,Shivling,supermarket,large,OIL001,cooking_oil,29,1.391
7229869129,Shivling,supermarket,large,OIL002,cooking_oil,29,1.391
7229869129,Shivling,supermarket,large,OIL003,cooking_oil,29,1.391
