suburb,category,total_units,total_revenue,transaction_count,brands
Bandari sublocation,flour,8814,1873184.44,191,"Kabras, Unga"
Bandari sublocation,cooking_oil,7242,1410858.18,203,"Bidco, Kapa"
Manyatta A,flour,6550,1405147.74,252,"Kabras, Unga"
Manyatta A,cooking_oil,5713,1111916.48,258,"Bidco, Kapa"
Migosi,flour,5605,1208300.61,161,"Kabras, Unga"
Bandari sublocation,beverages,5331,430955.04,192,"Coca-Cola, EABL, Kevian"
Nyawita sublocation,flour,5089,1058653.82,196,"Kabras, Unga"
Bandari sublocation,soap,4715,431736.42,191,"Bidco, Reckitt, Unilever"
Bandari sublocation,sugar,4453,982327.49,138,"Mumias, Nzoia"
Manyatta A,beverages,4228,332878.32,256,"Coca-Cola, EABL, Kevian"
Migosi,cooking_oil,4076,807764.39,147,"Bidco, Kapa"
Nyawita sublocation,cooking_oil,3981,757545.14,188,"Bidco, Kapa"
Manyatta A,sugar,3617,776496.23,183,"Mumias, Nzoia"
Manyatta A,soap,3589,324467.53,246,"Bidco, Reckitt, Unilever"
Migosi,beverages,3572,278893.93,166,"Coca-Cola, EABL, Kevian"
Southern sublocation,flour,3472,727804.34,106,"Kabras, Unga"
Nyawita sublocation,beverages,3234,258479.75,198,"Coca-Cola, EABL, Kevian"
Southern sublocation,cooking_oil,3207,626578.16,110,"Bidco, Kapa"
Migosi,soap,3096,274270.74,151,"Bidco, Reckitt, Unilever"
Bandari sublocation,personal_care,3059,403233.93,153,"Colgate, Unilever"
Migosi,sugar,2997,656197.72,112,"Mumias, Nzoia"
Nyawita sublocation,soap,2780,252017.81,205,"Bidco, Reckitt, Unilever"
Nyawita sublocation,sugar,2682,593570.55,146,"Mumias, Nzoia"
Southern sublocation,beverages,2236,177206.88,104,"Coca-Cola, EABL, Kevian"
Manyatta A,personal_care,2022,266189.55,173,"Colgate, Unilever"
Southern sublocation,sugar,1896,407456.08,80,"Mumias, Nzoia"
Southern sublocation,soap,1857,163921.91,100,"Bidco, Reckitt, Unilever"
Migosi,personal_care,1847,237893.55,119,"Colgate, Unilever"
Nyawita sublocation,personal_care,1610,211812.63999999998,140,"Colgate, Unilever"
Northern sublocation,flour,1602,347649.39,61,"Kabras, Unga"
Bandari sublocation,sanitary,1533,285615.51,94,"Kimberly-Clark, P&G"
Lolwe,flour,1405,293835.57,81,"Kabras, Unga"
Northern sublocation,cooking_oil,1308,251660.75,62,"Bidco, Kapa"
Milimani,flour,1303,279772.05,59,"Kabras, Unga"
Manyatta A,sanitary,1220,233147.76,126,"Kimberly-Clark, P&G"
Southern sublocation,personal_care,1189,153531.56,83,"Colgate, Unilever"
Lolwe,cooking_oil,1109,215095.9,81,"Bidco, Kapa"
Wadhare,flour,1077,229258.81,55,"Kabras, Unga"
Migosi,sanitary,1032,190545.65,77,"Kimberly-Clark, P&G"
Northern sublocation,beverages,972,81462.97,63,"Coca-Cola, EABL, Kevian"
Wadhare,cooking_oil,956,183489.47,61,"Bidco, Kapa"
Milimani,cooking_oil,924,185186.01,54,"Bidco, Kapa"
Lolwe,beverages,915,74701.7,80,"Coca-Cola, EABL, Kevian"
Northern sublocation,sugar,873,198330.98,52,"Mumias, Nzoia"
Nyawita sublocation,sanitary,867,164239.2,96,"Kimberly-Clark, P&G"
Northern sublocation,soap,844,76183.74,65,"Bidco, Reckitt, Unilever"
Lolwe,soap,813,71672.64,79,"Bidco, Reckitt, Unilever"
Wadhare,beverages,743,61093.700000000004,55,"Coca-Cola, EABL, Kevian"
Lolwe,sugar,743,166036.39,57,"Mumias, Nzoia"
Milimani,beverages,738,52024.43,58,"Coca-Cola, EABL, Kevian"
West Kajulu location,flour,713,150742.41,48,"Kabras, Unga"
Wadhare,sugar,699,149411.95,45,"Mumias, Nzoia"
Wadhare,soap,693,60048.64,61,"Bidco, Reckitt, Unilever"
Industrial Area,flour,662,142108.2,66,"Kabras, Unga"
Milimani,soap,609,56634.85,55,"Bidco, Reckitt, Unilever"
Manyatta B,flour,600,129579.56,41,"Kabras, Unga"
Milimani,sugar,598,130528.03,44,"Mumias, Nzoia"
Southern sublocation,sanitary,596,114315.64,51,"Kimberly-Clark, P&G"
Nyalenda A,flour,573,121653.26,36,"Kabras, Unga"
Industrial Area,cooking_oil,573,111755.73,68,"Bidco, Kapa"
Celtel Estate,flour,556,113924.36,15,"Kabras, Unga"
West Kajulu location,cooking_oil,538,106004.69,50,"Bidco, Kapa"
Northern sublocation,personal_care,512,68562.81,46,"Colgate, Unilever"
Kasule sublocation,flour,510,105749.96,22,"Kabras, Unga"
Manyatta B,cooking_oil,508,97699.64,42,"Bidco, Kapa"
Lolwe,personal_care,457,59655.52,61,"Colgate, Unilever"
Nyalenda A,cooking_oil,450,89728.27,32,"Bidco, Kapa"
Brilliant,flour,442,96814.76,20,"Kabras, Unga"
Industrial Area,beverages,414,33216.5,65,"Coca-Cola, EABL, Kevian"
