osm_id,latitude,longitude,name,shop_type,amenity,opening_hours
3291255926,-0.1253104,34.7535577,Kiosk,convenience,,
3291258371,-0.125057,34.7536201,Kiosk,convenience,,
3291258372,-0.1239009,34.7533096,Kiosk,convenience,,
3291258373,-0.1227416,34.7529361,Kiosk,convenience,,
3292348351,-0.104469,34.753473,Oriental Chinese Restaurant,deli,,
3292350021,-0.1033614,34.7557818,,butcher,,
3330614604,-0.1043485,34.7525964,Baus Optical,optician,,
3834757804,-0.1048388,34.7529084,Shivling,supermarket,,
4620804290,-0.1181739,34.7463944,roots wabara fine arts,gift,,Mo-Su 07:00-18:30
4620811493,-0.1183397,34.7464164,street shop,convenience,,
5297054322,-0.1002629,34.754289,Dahbshil,copyshop,,
5731866921,-0.1016455,34.7508908,Printex Brand Limited,copyshop,,
5829801685,-0.0968728,34.7521061,Amex,car_parts,,
6130562035,-0.0975982,34.7505583,KingswayTyres-Kisumu,tyres,,
6130562037,-0.0968456,34.7506653,CMC Motors,car,,
6633205204,-0.0999643,34.7520069,Zaira Tours And Travel,travel_agency,,
6851440464,-0.1024953,34.7523456,QuickMart,supermarket,,
6966453737,-0.0816245,34.76504,Obunga Market,,marketplace,
6969176795,-0.1167143,34.7871522,Nyamasaria,,marketplace,
7181814601,-0.1067626,34.7704819,Naivas Food Market,supermarket,,08:30-20:30
7222892585,-0.1057793,34.7531717,Safaricom,mobile_phone,,
7227559253,-0.1172055,34.7591898,QuickMart,supermarket,,
7229869113,-0.116943,34.7875621,Choppies,supermarket,,
7229869128,-0.0835541,34.7754727,Quickmart- Kondele,supermarket,,
7229869129,-0.0819533,34.7751694,Shivling,supermarket,,
7230512297,-0.0016911,34.7397444,Gambogi,,marketplace,
8190762065,-0.089995,34.773055,JOOTRH Mortuary,funeral_directors,,
8814265702,-0.1191967,34.76467,Mama Papa's Shop,general,,
8814298899,-0.1171883,34.76083,SB Salon,hairdresser,,
8814390051,-0.0975267,34.7786233,Honda Nafuu General Store,general,,
8814394881,-0.0977217,34.7781317,Mama Sally Shop,kiosk,,
8814396056,-0.09138,34.7806533,Hardware Shop,hardware,,
8816796434,-0.0867191,34.7808155,Auma Plaza,department_store,,
8816862517,-0.1442633,34.73629,Dunga Market,,marketplace,
8816875717,-0.120895,34.7550017,Kilo,,marketplace,
8816877717,-0.1191189,34.7528467,Simba Market,,marketplace,
8816877719,-0.108175,34.7837583,Kasawino,convenience,,
8816890718,-0.114675,34.76901,Corona market - kowino,,marketplace,
8816908517,-0.1084567,34.7830067,Kasawino Market,,marketplace,
8816914817,-0.1028217,34.7770083,Gesoko,,marketplace,
8816921346,-0.08866,34.7770067,Usodho J.G Shop,kiosk,,
8816941117,-0.09202,34.77597,Corona Market 2,,marketplace,
8816945517,-0.0881583,34.777845,Corona Market,,marketplace,
8816948717,-0.0881117,34.7806583,Kona Mbuta Market,,marketplace,
8816952917,-0.0875748,34.7829903,Kaego,,marketplace,
8816962317,-0.084175,34.7745917,Kondele Market,,marketplace,
8816972117,-0.0816297,34.7845018,Kaego Market,,marketplace,
8816972118,-0.0743766,34.781689,Lolwe Junction Market,,marketplace,
8816975418,-0.0805903,34.7716722,Nyawita market,,marketplace,
8816984317,-0.0815979,34.7714588,Ayanga Market Nyawita,,marketplace,
8816988617,-0.0810567,34.7604283,Obunga Fish Market,,marketplace,
8816995517,-0.0803143,34.7465815,Kombedu Market,,marketplace,
8816996417,-0.0797453,34.7464408,Kombedu,,marketplace,
8817013517,-0.0793272,34.7413743,Bandani Market,,marketplace,
8817049400,-0.0812419,34.7814793,Saya Hardware,hardware,,
8817126017,-0.0762867,34.7298283,Riat Market,,marketplace,
8817126018,-0.0765933,34.728975,Riat road side market,farm,marketplace,
8817177117,-0.0769175,34.729264,Riat railway market,,marketplace,
